name,slug,timed_or_repped,tracking_mode,equipment,required_equipment,optional_or_support_equipment,equipment_slugs,equipment_bucket,exercise_type,primary_muscle,source_line,correct_tracking_mode,correct_equipment,notes
Cable Hip Adduction,cable_hip_adduction,repped,reps,Cable machine; Cable ankle strap,Cable machine; Cable ankle strap,None,cable_machine; ankle_strap,gym,strength,adductors,5367,,,
Hip Adduction Machine,hip_adduction_machine,repped,reps,Hip adduction machine,Hip adduction machine,None,hip_adduction_machine,gym,strength,adductors,1685,,,
Lateral Sled Drag,lateral_sled_drag,distance,distance,Sled,Sled,None,sled,other,strength,adductors,5385,,,
Side-Lying Hip Adduction,side_lying_hip_adduction,repped,reps,Resistance bands (tube),None,Resistance bands (tube),resistance_bands,bodyweight,strength,adductors,5352,,,
Cat-Cow,cat_cow,repped,reps,None,None,None,None,bodyweight,mobility,back,5966,,,
Child's Pose,childs_pose,timed,time,None,None,None,None,bodyweight,mobility,back,6078,,,
Downward Dog,downward_dog,timed,time,None,None,None,None,bodyweight,mobility,back,6062,,,
Foam Roller Lat Release,foam_roller_lat_release,timed,time,Foam roller,Foam roller,None,foam_roller,home,mobility,back,6611,,,
Foam Roller T-Spine Extension,foam_roller_t_spine_extension,repped,reps,Foam roller,Foam roller,None,foam_roller,home,mobility,back,6595,,,
Prone Y-T-W,prone_ytw,repped,reps,None,None,None,None,bodyweight,mobility,back,2048,,,
Scap Push-up,scap_pushup,repped,reps,None,None,None,None,bodyweight,mobility,back,354,,,
Thoracic Rotation,thoracic_rotation,repped,reps,None,None,None,None,bodyweight,mobility,back,662,,,
Thread-the-Needle,thread_the_needle,repped,reps,None,None,None,None,bodyweight,mobility,back,6046,,,
Assisted Pull-up,assisted_pullup,repped,reps,Assisted pull-up machine,Assisted pull-up machine,None,assisted_pullup_machine,gym,strength,back,539,,,
Back Extension (Back Focused),back_extension_back,repped,reps,Hyperextension bench,Hyperextension bench,None,hyperextension_bench,gym,strength,back,677,,,
Band Row,band_row,repped,reps,Resistance bands (tube),Resistance bands (tube),None,resistance_bands,home,strength,back,3702,,,
Band-Assisted Pull-up,band_assisted_pullup,repped,reps,Pull-up bar; Resistance bands (tube),Pull-up bar; Resistance bands (tube),None,pull_up_bar; resistance_bands,gym,strength,back,4435,,,
Barbell Row,barbell_row,repped,reps,Barbell,Barbell,None,barbell,gym,strength,back,424,,,
Barbell Shrug,barbell_shrug,repped,reps,Barbell,Barbell,None,barbell,gym,strength,back,4484,,,
Chest Supported Row,chest_supported_row,repped,reps,Dumbbells; Adjustable bench,Dumbbells; Adjustable bench,None,dumbbells; adjustable_bench,dumbbells,strength,back,490,,,
Chin-ups,chinups,repped,reps,Pull-up bar,Pull-up bar,None,pull_up_bar,home,strength,back,523,,,
Close-Grip Lat Pulldown,close_grip_lat_pulldown,repped,reps,Lat pulldown; Cable V-bar / triangle,Lat pulldown; Cable V-bar / triangle,None,lat_pulldown_machine; v_bar_attachment,gym,strength,back,3106,,,
Dead Hang,dead_hang,timed,time,Pull-up bar,Pull-up bar,None,pull_up_bar,gym,strength,back,4468,,,
