Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2018-12-28 09:06:39,"Hotel WO",39m,"Squat (Smith Machine)",1,135.0,12.0,0,0.0,"","",
2018-12-28 09:06:39,"Hotel WO",39m,"Squat (Smith Machine)",2,225.0,4.0,0,0.0,,,
2018-12-28 09:06:39,"Hotel WO",39m,"Squat (Smith Machine)",3,225.0,4.0,0,0.0,,,
2018-12-28 09:06:39,"Hotel WO",39m,"Bent Over Row (Dumbbell)",1,35.0,8.0,0,0.0,"",,
2018-12-28 09:06:39,"Hotel WO",39m,"Bent Over Row (Dumbbell)",2,35.0,10.0,0,0.0,,,
2018-12-28 09:06:39,"Hotel WO",39m,"Overhead Press (Smith Machine)",1,95.0,10.0,0,0.0,"",,
2018-12-28 09:06:39,"Hotel WO",39m,"Overhead Press (Smith Machine)",2,115.0,4.0,0,0.0,,,
2018-12-28 09:06:39,"Hotel WO",39m,"Overhead Press (Smith Machine)",3,115.0,4.0,0,0.0,,,
2018-12-28 09:06:39,"Hotel WO",39m,"Incline Bench Press (Dumbbell)",1,30.0,8.0,0,0.0,"",,
2018-12-28 09:06:39,"Hotel WO",39m,"Incline Bench Press (Dumbbell)",2,35.0,6.0,0,0.0,,,
2018-12-28 09:06:39,"Hotel WO",39m,"Incline Bench Press (Dumbbell)",3,35.0,6.0,0,0.0,,,
2018-12-28 09:06:39,"Hotel WO",39m,"Pull Up",1,0.0,6.0,0,0.0,"",,
2018-12-28 09:06:39,"Hotel WO",39m,"Pull Up",2,0.0,5.0,0,0.0,,,
2018-12-28 09:06:39,"Hotel WO",39m,"Bicep Curl (Barbell)",1,40.0,10.0,0,0.0,"",,
2018-12-28 09:06:39,"Hotel WO",39m,"Bicep Curl (Barbell)",2,40.0,10.0,0,0.0,,,
2018-12-28 09:06:39,"Hotel WO",39m,"Skullcrusher (Barbell)",1,40.0,10.0,0,0.0,"",,
2018-12-28 09:06:39,"Hotel WO",39m,"Skullcrusher (Barbell)",2,40.0,10.0,0,0.0,,,
2018-12-28 09:06:39,"Hotel WO",39m,"Crunch (Stability Ball)",1,0,15.0,0,0.0,"",,
2018-12-28 09:06:39,"Hotel WO",39m,"Crunch (Stability Ball)",1,0,12.0,0,0.0,"",,
2018-12-29 15:46:49,"Strong 5x5 - Workout A Copy",55m,"Squat (Barbell)",1,135.0,6.0,0,0.0,"","",
2018-12-29 15:46:49,"Strong 5x5 - Workout A Copy",55m,"Squat (Barbell)",2,225.0,4.0,0,0.0,,,
2018-12-29 15:46:49,"Strong 5x5 - Workout A Copy",55m,"Squat (Barbell)",3,225.0,5.0,0,0.0,,,
2018-12-29 15:46:49,"Strong 5x5 - Workout A Copy",55m,"Squat (Barbell)",4,225.0,4.0,0,0.0,,,
2018-12-29 15:46:49,"Strong 5x5 - Workout A Copy",55m,"Squat (Barbell)",5,225.0,0.0,0,0.0,,,
2018-12-29 15:46:49,"Strong 5x5 - Workout A Copy",55m,"Bench Press (Barbell)",1,135.0,3.0,0,0.0,"",,
2018-12-29 15:46:49,"Strong 5x5 - Workout A Copy",55m,"Bench Press (Barbell)",2,135.0,4.0,0,0.0,,,
2018-12-29 15:46:49,"Strong 5x5 - Workout A Copy",55m,"Bench Press (Barbell)",3,135.0,3.0,0,0.0,,,
2018-12-29 15:46:49,"Strong 5x5 - Workout A Copy",55m,"Bench Press (Barbell)",4,135.0,4.0,0,0.0,,,
2018-12-29 15:46:49,"Strong 5x5 - Workout A Copy",55m,"Bench Press (Barbell)",5,135.0,3.0,0,0.0,,,
2018-12-29 15:46:49,"Strong 5x5 - Workout A Copy",55m,"Bent Over Row (Barbell)",1,95.0,8.0,0,0.0,"",,
2018-12-29 15:46:49,"Strong 5x5 - Workout A Copy",55m,"Bent Over Row (Barbell)",2,115.0,6.0,0,0.0,,,
2018-12-29 15:46:49,"Strong 5x5 - Workout A Copy",55m,"Bent Over Row (Barbell)",3,115.0,5.0,0,0.0,,,
2018-12-29 15:46:49,"Strong 5x5 - Workout A Copy",55m,"Bent Over Row (Barbell)",4,115.0,5.0,0,0.0,,,
2018-12-29 15:46:49,"Strong 5x5 - Workout A Copy",55m,"Bent Over Row (Barbell)",5,115.0,5.0,0,0.0,,,
2018-12-29 15:46:49,"Strong 5x5 - Workout A Copy",55m,"Arnold Press (Dumbbell)",1,35.0,8.0,0,0.0,"",,
2018-12-29 15:46:49,"Strong 5x5 - Workout A Copy",55m,"Arnold Press (Dumbbell)",2,35.0,6.0,0,0.0,,,
2018-12-29 15:46:49,"Strong 5x5 - Workout A Copy",55m,"Arnold Press (Dumbbell)",3,35.0,5.0,0,0.0,,,
2018-12-29 15:46:49,"Strong 5x5 - Workout A Copy",55m,"Around the World",1,25.0,3.0,0,0.0,"",,
2018-12-29 15:46:49,"Strong 5x5 - Workout A Copy",55m,"Around the World",2,15.0,7.0,0,0.0,,,
2018-12-29 15:46:49,"Strong 5x5 - Workout A Copy",55m,"Lateral Raise (Cable)",1,20.0,10.0,0,0.0,"",,
2018-12-29 15:46:49,"Strong 5x5 - Workout A Copy",55m,"Pull Up",1,0.0,7.0,0,0.0,"",,
2018-12-29 15:46:49,"Strong 5x5 - Workout A Copy",55m,"Pull Up",2,0.0,5.0,0,0.0,,,
2019-01-06 14:29:13,"RED Trigger 1",10m,"Chest Fly (Band)",1,0.0,1.0,0,0.0,"","",
2019-01-06 14:29:13,"RED Trigger 1",10m,"Squat Row (Band)",1,0,20.0,0,0.0,"",,
2019-01-06 14:29:13,"RED Trigger 1",10m,"Lateral Raise (Band)",1,0.0,1.0,0,0.0,"",,
2019-01-06 14:29:13,"RED Trigger 1",10m,"Hammer Curl (Band)",1,0.0,1.0,0,0.0,"",,
2019-01-08 17:16:12,"RED Phase 1 Found. 1",50m,"Box Squat (Barbell)",1,135.0,10.0,0,0.0,"","",
2019-01-08 17:16:12,"RED Phase 1 Found. 1",50m,"Squat (Barbell)",1,185.0,3.0,0,0.0,"",,
2019-01-08 17:16:12,"RED Phase 1 Found. 1",50m,"Squat (Barbell)",2,225.0,3.0,0,0.0,,,
2019-01-08 17:16:12,"RED Phase 1 Found. 1",50m,"Squat (Barbell)",3,225.0,3.0,0,0.0,,,
2019-01-08 17:16:12,"RED Phase 1 Found. 1",50m,"Squat (Barbell)",4,225.0,3.0,0,0.0,,,
2019-01-08 17:16:12,"RED Phase 1 Found. 1",50m,"Squat (Barbell)",5,225.0,3.0,0,0.0,,,
2019-01-08 17:16:12,"RED Phase 1 Found. 1",50m,"Bench Press (Barbell)",1,135.0,3.0,0,0.0,"",,
2019-01-08 17:16:12,"RED Phase 1 Found. 1",50m,"Bench Press (Barbell)",2,135.0,4.0,0,0.0,,,
2019-01-08 17:16:12,"RED Phase 1 Found. 1",50m,"Bench Press (Barbell)",3,135.0,4.0,0,0.0,,,
2019-01-08 17:16:12,"RED Phase 1 Found. 1",50m,"Bench Press (Barbell)",4,135.0,3.0,0,0.0,,,
2019-01-08 17:16:12,"RED Phase 1 Found. 1",50m,"Bench Press (Barbell)",5,135.0,3.0,0,0.0,,,
2019-01-08 17:16:12,"RED Phase 1 Found. 1",50m,"Pull Up",1,0.0,8.0,0,0.0,"",,
2019-01-08 17:16:12,"RED Phase 1 Found. 1",50m,"Pull Up",2,0.0,6.0,0,0.0,,,
2019-01-08 17:16:12,"RED Phase 1 Found. 1",50m,"Shrug (Barbell)",1,135.0,8.0,0,0.0,"",,
